"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s wurde erfolgreich zu Ihrem Wunschzettel hinzugefügt. Klicken Sie <a href=""%2$s"">hier</a>"
"%1$s has been updated in your wishlist.","%1$s wurde aktualisiert in Ihrem Wunschzettel."
"%d product(s) have been added to shopping cart: %s.","%d Artikel wurden dem Warenkorb hinzugefügt: %s."
"%s for ""%s"".","%s für ""%s"""
"%s's Wishlist","Wunschzettel von %s"
"* Required Fields","* Pflichtfelder"
"Add All to Cart","Alles in den Warenkorb"
"Add to Cart","In den Warenkorb"
"Add to Compare","Auf die Vergleichsliste"
"Add to Wishlist","Auf den Wunschzettel"
"Added From","Hinzugefügt über"
"Added On","Hinzugefügt am"
"An error occurred while adding item to wishlist.","Ein Fehler ist aufgetreten beim Hinzufügen zur Wunschzettel."
"An error occurred while adding item to wishlist: %s","Ein Fehler ist aufgetreten beim Hinzufügen zur Wunschzettel: %s"
"An error occurred while deleting the item from wishlist.","Ein Fehler ist aufgetreten beim Löschen von der Wunschzettel."
"An error occurred while deleting the item from wishlist: %s","Ein Fehler ist aufgetreten beim Löschen von der Wunschzettel: %s"
"An error occurred while updating wishlist.","Ein Fehler ist bei der Aktualisierung des Wunschzettels aufgetreten."
"Are you sure you want to remove this product from your wishlist?","Sind Sie sicher, dass Sie diesen Artikels von Ihrem Wunschzettel entfernen wollen?"
"Are you sure you would like to remove this item from the wishlist?","Sind Sie sicher, dass Sie diesen Artikel von Ihrem Wunschzettel entfernen wollen?"
"Back","Zurück"
"Can\'t delete item from wishlist","Artikel kann nicht vom Wunschzettel gelöscht werden."
"Can\'t save description %s","Beschreibung konnte nicht gespeichert werden %s"
"Can\'t update wishlist","Wunschzettel konnte nicht aktualisiert werden"
"Cannot add item to shopping cart","Artikel kann nicht zum Warenkorb hinzugefügt werden"
"Cannot add the item to shopping cart.","Artikel kann nicht zum Warenkorb hinzugefügt werden."
"Cannot configure product","Artikel kann nicht konfiguriert werden"
"Cannot create wishlist.","Wunschzettel konnte nicht erstellt werden."
"Cannot load wishlist item","Wunschzettel Artikel kann nicht geladen werden"
"Cannot specify product.","Artikel kann nicht bestimmt werden."
"Cannot specify wishlist item.","Wunschzettel-Artikel kann nicht bestimmt werden."
"Cannot specify wishlist.","Wunschzettel kann nicht bestimmt werden."
"Cannot update wishlist","Wunschzettel kann nicht aktualisiert werden"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Aktivieren Sie dieses Kästchen, wenn Sie einen Link zu einem RSS-Feed Ihres Wunschzettels hinzufügen möchten."
"Click for price","Klicken für Preis"
"Comment","Kommentar"
"Comment:","Kommentar:"
"Configure Wishlist Item","Wunschzettel Artikel konfigurieren"
"Configured Price:","Konfigurierter Preis:"
"Customer My Account My Wishlist","Kunde Mein Benutzerkonto Mein Wunschzettel"
"Customer My Account Wishlist Sharing Form","Kunde Mein Benutzerkonto Wunschzettel teilen Formular"
"Customer Shared Wishlist View","Kunde geteilte Wunschzettel"
"Date Added","Hinzugefügt am"
"Days in Wishlist","Tage auf dem Wunschzettel"
"Display Wishlist Summary","Zeige Wunschzettel Zusammenfassung"
"Edit","Bearbeiten"
"Email Sender","E-Mail Absender"
"Email Template","E-Mail Vorlage"
"Email address can\'t be empty.","E-Mail Adresse darf nicht leer sein."
"Email addresses, separated by commas","E-Mail Adressen, durch Komma getrennt"
"Enabled","Aktiviert"
"General Options","Allgemeine Optionen"
"Go to Wishlist","Zum Wunschzettel"
"Helper for wishlist options rendering doesn't implement required interface.","Helper für Wunschzettel Optionen Rendering implementiert das benötigte Interface nicht."
"Last Added Items","Zuletzt hinzugefügte Artikel"
"Message","Nachricht"
"My Wishlist","Mein Wunschzettel"
"My Wishlist (%d item)","Mein Wunschzettel (%d Artikel)"
"My Wishlist (%d items)","Mein Wunschzettel (%d Artikel)"
"My Wishlist <small>(%d)</small>","Mein Wunschzettel <small>(%d)</small>"
"My Wishlist Link","Mein Wunschzettel Link"
"Options Details","Optionen Details"
"Out of stock","Nicht auf Lager"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Bitte geben Sie eine gültige E-Mail-Adresse ein, oder trennen<br />Sie mehrere E-Mail-Adressen mit einem Komma!<br />Zum Beispiel johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","Bitte geben Sie eine gültige E-Mail-Adresse ein."
"Please, enter your comments...","Bitte geben Sie Ihre Kommentare ein..."
"Product","Artikel"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Artikel %s hat Pflicht-Optionen. Jede Option kann nur einzeln zum Warenkorb hinzugefügt werden."
"RSS Feed","RSS-Feed"
