"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Custom phrases that exist only in this theme."
"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Page Module"
"Results per page","Treffer per Seite"
"%s-%s of %s","%s-%s von %s"
"###","Catalog Module"
"Filter","Filter"
"View Details","Beschreibung anzeigen"
"Share on Facebook","Auf Facebook teilen"
"Share on Twitter","Auf Twitter teilen"
"###","Checkout Module"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Sind Sie sicher, dass Sie diese Seite verlassen wollen? Sie müssen durch alle Bestellschritte nochmals gehen."
"Zip/Postal Code","PLZ"
"Discount Codes?","Rabatt-Kode?"
"###","Customer Module"
"Registration is free and easy!","Registrieren ist kostenlos und einfach!"
"Faster checkout","Schneller bezahlen"
"Save multiple shipping addresses","Mehrere Lieferadressen speichern"
"View and track orders and more","Ansicht, Sendungsverfolgung und mehr"
"###","Shipment Module"
"Item in your order","Artikel Ihrer Bestellung"
"Items in your order","Artikel Ihrer Bestellung"
