"Activate fallback for locale","Ausweichsprache für Sprachumgebung aktivieren"
"Locale Fallback","Ausweichsprache"
"Locale Preferred","Sprachpaket"
"Language Extensions","Verwalte Sprachpakete"
"Manage Language Packs","Verwalte Sprachpakete"
"Translations are differing, values from Locale Fallback will be used.","Die Übersetzungen sind unterschiedlich; die Ausweichsprache wird aktiviert."
"Translations are identical, you can safely switch off the Locale Fallback.","Die Übersetzungen sind identisch, deswegen können Sie die Ausweichsprache ausschalten."
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href=""%s"">Get more information here.</a>","Achtung: Ihr Locale Pack passt nicht zur installierten Magento Version. Für mehr Information klicken Sie <a href=""%s"">hier</a>."
"Translate Magento Connect Manager","Magento Connect Manager übersetzen"
"Using your own translations","Eigene Übersetzungen nutzen"
"Recommended extensions","Empfohlene Extensions"
"Translate TinyMCE","TinyMCE übersetzen"
"German language package de_AT - Community Edition (CE)","Deutsches Sprachpaket de_AT - Community Edition (CE)"
"German language package de_CH - Community Edition (CE)","Deutsches Sprachpaket de_CH - Community Edition (CE)"
"German language package de_DE - Community Edition (CE)","Deutsches Sprachpaket de_DE - Community Edition (CE)"
"German language package de_LU - Community Edition (CE)","Deutsches Sprachpaket de_LU - Community Edition (CE)"
"Use German language for TinyMCE Editor?","Deutsche Version des TinyMCE-Editors verwenden?"
