" Select Shipping Method"," Versandart auswählen"
"<br/>Trace confirmation request:<br/>%s","<br/>Bestätigung der Nachverfolgung:<br/>%s"
"Access Key","Zugangsschlüssel"
"Access Key ID","Zugriffsschlüssel-ID"
"Amazon Simple Pay","Amazon Simple Pay"
"Amazon Simple Pay notification error","Amazon Simple Pay Benachrichtigung Fehler"
"Amazon Simple Pay service capture confirmation error: confirmation request amount is not equal to the amount of order.","Amazon Simple Pay Service Erfassungsfehler: Der Betrag der Bestätigungsanforderung entspricht nicht dem Auftragswert."
"Amazon Simple Pay service capture confirmation error: the amount in the existing invoice does not match the amount in the confirmation request.","Amazon Simple Pay Service Erfassungsfehler: Der Betrag in der bestehenden Rechnung stimmt nicht mit dem Betrag in der Bestätigungsanforderung überein."
"Amazon Simple Pay service capture confirmation error: the existing transaction ID does not match the transaction ID in the confirmation request.","Amazon Simple Pay Service Erfassungsfehler: Die vorhandene Transaktions-ID stimmt nicht mit der Transaktions-ID in der Bestätigungsanforderung überein."
"Amazon Simple Pay service capture confirmation. The invoice was captured automatically.","Amazon Simple Pay Service Erfassungsbestätigung. Die Rechnung wurde automatisch erfasst."
"Amazon Simple Pay service confirmation error: order states sequence violation.","Amazon Simple Pay Service Bestätigungsfehler: Auftrag meldet Sequenzverletzung."
"Amazon Simple Pay service confirmation error: the order currency does not match the currency of the IPN request.","Amazon Simple Pay Service Bestätigungsfehler: Die Bestellwährung stimmt nicht mit der Währung der IPN-Anfrage überein."
"Amazon Simple Pay service confirmation error: the order specified in the IPN request cannot be found.","Amazon Simple Pay Service Bestätigungsfehler: Die in der IPN-Anfrage angegebene Bestellung kann nicht gefunden werden."
"Amazon Simple Pay service confirmation error: the payment method in the order is not Amazon Simple Pay.","Amazon Simple Pay Service Bestätigungsfehler: Die Zahlungsmethode in der Bestellung ist nicht Amazon Simple Pay."
"Amazon Simple Pay service confirmed capture for invoice %s.","Amazon Simple Pay Service bestätigt die Erfassung der Rechnung %s."
"Amazon Simple Pay service confirmed refund for credit memo %s.","Amazon Simple Pay Service bestätigte die Rückerstattung der Gutschrift %s."
"Amazon Simple Pay service has confirmed amount authorization.","Amazon Simple Pay Service hat die Autorisierung des Betrages bestätigt."
"Amazon Simple Pay service has confirmed cancelation.","Amazon Simple Pay Service hat die Stornierung bestätigt."
"Amazon Simple Pay service has confirmed capture for invoice %s. The invoice was automatically captured.","Amazon Simple Pay Service hat die Erfassung der Rechnung %s bestätigt. Die Rechnung wurde automatisch erfasst."
"Amazon Simple Pay service has confirmed capture initiation.","Amazon Simple Pay Service hat die Einleitung der Erfassung bestätigt."
"Amazon Simple Pay service has confirmed capture.","Amazon Simple Pay Service hat die Erfassung bestätigt."
"Amazon Simple Pay service has confirmed payment capture. Invoice %s was automatically created after confirmation.","Amazon Simple Pay Service hat die Zahlungserfassung bestätigt. Die Rechnung %s wurde nach der Bestätigung automatisch erstellt."
"Amazon Simple Pay service has confirmed payment capture. Invoice was created automatically.","Amazon Simple Pay Service hat die Zahlungserfassung bestätigt. Die Rechnung wurde automatisch erstellt."
"Amazon Simple Pay service has confirmed payment refund. Credit memo %s was automatically created after confirmation.","Amazon Simple Pay Service hat die Rückerstattung der Zahlung bestätigt. Die Gutschrift %s wurde nach der Bestätigung automatisch erstellt."
"Amazon Simple Pay service has confirmed payment refund. Credit memo was created automatically.","Amazon Simple Pay Service hat die Rückerstattung der Zahlung bestätigt. Die Gutschrift wurde automatisch erstellt."
"Amazon Simple Pay service has confirmed payment refund. The credit memo was created automatically.","Amazon Simple Pay Service hat die Rückerstattung der Zahlung bestätigt. Die Gutschrift wurde automatisch erstellt."
"Amazon Simple Pay service has confirmed refund.","Amazon Simple Pay Service hat die Rückerstattung bestätigt."
"Amazon Simple Pay service has confirmed refund. The credit memo was processed automatically.","Amazon Simple Pay Service hat die Rückerstattung bestätigt. Die Gutschrift wurde automatisch bearbeitet."
"Amazon Simple Pay service has confirmed refunded credit memo %s. The credit memo was processed automatically.","Amazon Simple Pay Service hat die Rückerstattung der Gutschrift %s bestätigt. Die Gutschrift wurde automatisch bearbeitet."
"Amazon Simple Pay service is not available. Payment was not processed.","Der Amazon Simple Pay Service ist nicht verfügbar. Die Zahlung wurde nicht bearbeitet."
"Amazon Simple Pay service payment confirmation has failed.","Die Zahlungsbestätigung des Amazon Simple Pay Services ist fehlgeschlagen."
"Amazon Simple Pay service refund confirmation error: the amount in the existing creditmemo does not match the amount in the confirmation request.","Amazon Simple Pay Service Rückerstattungsfehler: Der Betrag in der bestehenden Gutschrift stimmt nicht mit dem Betrag in der Bestätigungsanforderung überein."
"Amazon Simple Pay service refund confirmation error: the confirmation request amount does not match the order amount.","Amazon Simple Pay Service Rückerstattungsfehler: Der Betrag der Bestätigungsanforderung stimmt nicht mit dem Bestellwert überein."
"Amazon Simple Pay service refund confirmation error: the transaction ID in the existing creditmemo does not match the transaction ID in the confirmation request.","Amazon Simple Pay Service Rückerstattungsfehler: Die Transaktions-ID in der bestehenden Gutschrift stimmt nicht mit der Transaktions-ID in der Bestätigungsanforderung überein."
"Authorize Only","Nur autorisieren"
"Authorize and Capture","Autorisieren und Erfassen"
"Cancel Description","Beschreibung abbrechen"
"Cancel Order Notification received from Checkout by Amazon service.","Stornieren Sie die Bestellbestätigung, die Sie von Checkout by Amazon erhalten haben."
"Checkout by Amazon","Mit Amazon Zur Kasse"
"Continue Shopping","Weiter einkaufen"
"Customer was redirected to Amazon Simple Pay site","Der Kunde wurde auf die Amazon Simple Pay Seite weitergeleitet."
"Debug","Debuggen"
"Debug Log","Debug-Protokoll"
"Email Sender","E-Mail-Absender"
"Enable","Aktivieren"
"Error Log","Fehlerprotokoll"
"FPS Sandbox Service URI","FPS Sandbox-Service URI"
"FPS Service URI","FPS-Dienst-URI"
"Immediate Return","Sofortige Rückgabe"
"Invalid action code.","Ungültiger Aktionscode."
"Invalid request.","Ungültige Anfrage."
"Invoice was created with Checkout by Amazon.","Die Rechnung wurde mit Zur Kasse von Amazon erstellt."
"Merchant ID","Händler-ID"
"Merchant Login","Händler-Login"
"Merchant Name","Name des Händlers"
"Merchant Password","Händler-Passwort"
"Merchant Token","Händler-Token"
"Method Choice Checkout Message","Methodenauswahl Zur Kasse – Meldung"
"New Order Notification received from Checkout by Amazon service.","Benachrichtigung über neue Bestellungen, die vom Zur Kasse mit Amazon - Service erhalten wurden."
"New Order Status","Neuer Auftragsstatus"
"Notification Error Transactional Email","Benachrichtigung Fehler Transaktionals E-Mail"
"Order Ready To Ship Notification received form Checkout by Amazon service.","Bestellung fertig zum Versand - Benachrichtigung erhalten vom Zur Kasse mit Amazon - Service."
"Order was canceled with Checkout by Amazon.","Die Bestellung wurde in Zur Kasse mit Amazon storniert."
"Payment Action","Zahlungsaktion"
"Payment Description","Zahlungsbeschreibung"
"Payment Sandbox Service URI","Zahlung Sandbox Service URI"
"Payment Service URI","URI des Zahlungsdienstes"
"Payment authorization canceled with Amazon Simple Pay service.","Die Zahlungsermächtigung wurde mit dem Amazon Simple Pay Service aufgehoben."
"Pending Amazon Simple Pay","Amazon Simple Pay ausstehend"
"Redirect Message","Nachricht umleiten"
"Refund Description","Beschreibung der Rückerstattung"
"Refund was created with Checkout by Amazon.","Die Rückerstattung wurde mit Zur Kasse mit Amazon erstellt."
"Report Email","E-Mail melden"
"Report Error to Email","Fehler per E-Mail melden"
"Response body is not a valid FPS response.","Der Antwortinhalt ist keine gültige FPS-Antwort."
"SUCCESS","ERFOLG"
"Sandbox","Sandbox"
"Secret Key","Geheimer Schlüssel"
"Secret Key ID","Geheimer Schlüssel-ID"
"Shipment was created with Checkout by Amazon.","Der Versand wurde mit Zur Kasse mit Amazon erstellt."
"Thank you for your purchase!","Vielen Dank für Ihren Kauf!"
"The customer has canceled payment and successfully returned from Amazon Simple Pay site","Der Kunde hat die Zahlung storniert und ist erfolgreich von der Amazon Simple Pay Website zurückgekommen."
"The customer has successfully returned from Amazon Simple Pay site","Der Kunde ist erfolgreich von der Amazon Simple Pay Seite zurückgekehrt."
"The invoice was created (online capture). Waiting for capture confirmation from Amazon Simple Pay service.","Die Rechnung wurde erstellt (Online-Erfassung). Warten auf die Bestätigung der Erfassung durch den Amazon Simple Pay Service."
"The invoice was not refunded. Amazon Simple Pay service error: [%s] %s","Die Rechnung wurde nicht zurückerstattet. Amazon Simple Pay Service Fehler: [%s] %s"
"The item specified in callback request XML was not found in quote.","Das in der Callback-Anfrage XML angegebene Element wurde im Angebot nicht gefunden."
"The order was not canceled. Amazon Simple Pay service error: [%s] %s","Der Auftrag wurde nicht storniert. Amazon Simple Pay Service Fehler: [%s] %s"
"The order was not captured online. Authorization confirmation is required.","Die Bestellung wurde nicht online erfasst. Eine Berechtigungsbestätigung ist erforderlich."
"The order was not captured. Amazon Simple Pay service error: [%s] %s","Der Auftrag wurde nicht erfasst. Amazon Simple Pay Service Fehler: [%s] %s"
"The payment was captured online with Amazon Simple Pay service. The invoice was created. Waiting for capture confirmation from the payment service.","Die Zahlung wurde online mit dem Amazon Simple Pay Service erfasst. Die Rechnung wurde erstellt. Warten auf die Bestätigung der Erfassung durch den Zahlungsdienst."
"The payment was refunded online with Amazon Simple Pay service. The credit memo was created. Waiting for refund confirmation from Amazon Simple Pay service.","Die Zahlung wurde online mit dem Amazon Simple Pay Service zurückerstattet. Die Gutschrift wurde erstellt. Warten auf die Rückerstattungsbestätigung vom Amazon Simple Pay Service."
"The payment was refunded online. Waiting for refund confirmation from Amazon Simple Pay service.","Die Zahlung wurde online zurückerstattet. Warten auf die Rückerstattungsbestätigung vom Amazon Simple Pay Service."
"The request is not a valid IPN request.","Die Anfrage ist keine gültige IPN-Anfrage."
