"Account Login","Account Login"
"Account Password","Account Passwort"
"Account Type","Konto-Typ"
"Active","Aktiv"
"Add Attribute Mapping","Attributzuordnung hinzufügen"
"Add New Attribute","Neues Attribut hinzufügen"
"Add to Google Base","Zu Google Base hinzufügen"
"Are you sure?","Sind Sie sicher?"
"Attribute","Attribut"
"Attribute Set","Attributset"
"Attribute Set and Item Type","Attributset und Artikeltyp"
"Attributes","Attribute"
"Attributes Mapping","Attributzuordnung"
"Attributes Set","Attributset"
"AuthSub","AuthSub"
"Available Products","Verfügbare Artikel"
"British Pound Sterling","Britische Sterling Pfund"
"Cannot update Google Base Item for Store '%s'","Google Base Artikel konnte nicht aktualisiert werden für den / die Store '%s'"
"Captcha confirmation error: %s","Captcha Bestätigungsfehler: %s"
"Captcha has been confirmed.","Captcha wurde bestätigt."
"Catalog","Katalog"
"Clicks","Klicks"
"ClientLogin","Kundenlogin"
"Confirm","Bestätigen"
"Current Mapping will be reloaded. Continue?","Aktuelle Zuordnung wird neugeladen. Fortfahren?"
"Custom attribute, no mapping","kundenspezifisches Attribut, keine Zuordnung"
"Delete","Löschen"
"Delete Mapping","Zuordnung löschen"
"Edit Item Type","Artikeltyp ändern"
"Edit Item Type "%s"","Artikeltyp "%s" ändern"
"Error: %s","Fehler: %s"
"Euro","Euro"
"Expires","Läuft aus"
"Germany","Deutschland"
"Google","Google"
"Google Base","Google Merchant Center (GMC)"
"Google Base Attribute","GMC Attribut"
"Google Base ID","Google Merchant Center ID"
"Google Base Item Type","GMC Artikeltyp"
"Google Base Item type","GMC Artikeltyp"
"Google Base Items","GMC Artikel"
"Google base","Google Merchant Center (GMC)"
"Hide","Verstecken"
"Hosted","gehostet / verwaltet"
"Hosted or Google","gehostet oder Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Ungültiges Artikellmodell für Google Base Artikel"
"Item Type was deleted","Artikeltyp wurde gelöscht"
"Item Types","Artikeltypen"
"Item model is not specified to delete Google Base entry.","Item model is not specified to delete Google Base entry."
"Items","Artikel"
"Manage Attribute Mapping","Attributzuordnungen verwalten"
"Manage Attributes","Attribute verwalten"
"Manage Items","Artikel verwalten"
"New Item Type","Neuer Artikeltyp"
"New ItemType","Neue Artikel-Art"
"No","Nein"
"No items were deleted from Google Base","Keine Artikel wurden in Google Merchant Center gelöscht"
"No items were published","Keine Artikel wurden veröffentlicht"
"No items were saved as inactive items","No items were saved as inactive items"
"No products were added to Google Base","KEine Artikel wurden zu Google Merchant Center hinzugefügt"
"Object model is not specified to save Google Base entry.","Object model is not specified to save Google Base entry."
"Page views","Seitenansichten"
"Please, select Attribute Set and Google Item Type to load attributes","Bitte wählen Sie ein Attributset und einen GMC Artikeltyp zum Laden der Attribute"
"Product Name","Artikelname"
"Publish","Veröffentlichen"
"Published","Veröffentlicht"
"Remove","Entfernen"
"Save Mapping","Zuordnung speichern"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Session expired during export. Please revise exported products and repeat the process if necessary."
"Synchronize","Synchronisieren"
"Target Country","Zielland"
"The item type has been saved.","Der Artikel wurde gespeichert."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Diese Aktion wird die Artikelstatistik aktualisieren und Elemente entfernen, die nicht in Google Merchant Center vorhanden sind. Fortfahren?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Insgesamt wurden %d Artikel gelöscht; insgesamt wurden %d Artikel aktualisiert."
"Total of %d items(s) have been published.","Insgesamt wurden %d Artikel veröffentlicht."
"Total of %d items(s) have been removed from Google Base.","Insgesamt wurden %d Artikel von Google Merchant Center entfernt."
"Total of %d items(s) have been saved as inactive items.","Insgesamt wurden %d Artikel als inaktiv gespeichert."
"Total of %d product(s) have been added to Google Base.","%d  Artikel wurden erfolgreich zu Google Merchant Center hinzugefügt"
"US Dollar","US Dollar"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Fehler bei der Verbindung zu Google Merchant Center. Bitte prüfen Sie die Zugangsdaten in der Systemkonfiguration."
"Unable to select a Store View.","Unable to select a Store View."
"United Kingdom","Vereinigtes Königreich (UK)"
"United States","USA"
"Update Google Base Item when Product is Updated","Aktualisiere GMC Artikel, wenn Magento Artikel bearbeitet wird"
"View Available Products","Alle verfügbaren Artikel anzeigen"
"View Item in Google Base","Artikel in Google Merchant Center anzeigen"
"Yes","Ja"
"Attributes mapping","Attributzuordnung"
"Captcha confirmed successfully","Captcha erfolgreich bestätigt"
"Item model is not specified to delete Google Base entry","Artikelmodell wurde nicht zum Löschen von Google Merchant Center Einträgen bestimmt"
"No items were saved as Inactive items","Keine Artikel wurden als inaktive Artikel gespeichert"
"Object model is not specified to save Google Base entry","Objektmodell wurde nicht zum Speichern von Google Merchant Center Einträgen bestimmt"
"Session expired during export. Please, revise exported products and repeat a process if necessary","Sitzung des Export-Vorgangs abgelaufen. Bitte überprüfen Sie die exportierten Artikel und wiederholen Sie wenn nötig den Vorgang"
"Unable to select a Store View","Auswahl einer StoreView nicht möglich"
