"New Order Status","Neuer Bestellstatus"
"Credit Card","Kreditkarte"
"Testmode","Testmodus"
"The payment will be performed after you have placed the Order.","Der Bezahlvorgang erfolgt nach Abschicken der Bestellung."
"Payment to applicable countries","Zahlung verfügbar in diesen Ländern"
"Payment to Specific countries","Zahlung verfügbar in spezifischen Ländern"
"Direct Debit","Bankeinzug"
"Error occured","Fehler"
"We are sorry, there was an error during the payment process. Please contact us by email or phone to place your order directly. We apologize for any inconvenience.","Leider gab es einen Fehler beim Bezahlvorgang. Bitte kontaktieren Sie uns direkt via E-Mail oder Telefon. Wir entschuldigen uns für entstandene Unannehmlichkeiten."
"Please <a href=""%s"">continue shopping</a>.","Bitte <a href=""%s"">setzen Sie Ihren Einkauf fort</a>."
"Perform Registration","Registrierung durchführen"
